=== Job 337857 ===
Config: configs/a100.yaml
Output: ./output/ouro-2.6b-thai-ut4
GPUs: 4
Node: tau
0, NVIDIA H100 80GB HBM3, 81559 MiB
1, NVIDIA H100 80GB HBM3, 81559 MiB
2, NVIDIA H100 80GB HBM3, 81559 MiB
3, NVIDIA H100 80GB HBM3, 81559 MiB
Current Workspace: /home/snit.san/llm/Ouro
Model: ByteDance/Ouro-2.6B
total_ut_steps: 4
Output: /workspace/output
trainable params: 30,277,632 || all params: 2,698,252,289 || trainable%: 1.1221
{'loss': 3.6682, 'grad_norm': 5.956527233123779, 'learning_rate': 1.1842105263157895e-05, 'num_tokens': 3200.0, 'mean_token_accuracy': 0.3333333432674408, 'epoch': 0.01}
{'loss': 2.6289, 'grad_norm': 5.00718879699707, 'learning_rate': 2.5e-05, 'num_tokens': 6400.0, 'mean_token_accuracy': 0.4864583447575569, 'epoch': 0.02}
{'loss': 0.7603, 'grad_norm': 1.6877334117889404, 'learning_rate': 3.815789473684211e-05, 'num_tokens': 9600.0, 'mean_token_accuracy': 0.8555555641651154, 'epoch': 0.03}
{'loss': 0.0461, 'grad_norm': 0.05912796035408974, 'learning_rate': 5.131578947368422e-05, 'num_tokens': 12800.0, 'mean_token_accuracy': 1.0, 'epoch': 0.04}
{'loss': 0.0003, 'grad_norm': 0.013741465285420418, 'learning_rate': 6.447368421052632e-05, 'num_tokens': 16000.0, 'mean_token_accuracy': 1.0, 'epoch': 0.05}
{'loss': 0.0001, 'grad_norm': 0.0028793644160032272, 'learning_rate': 7.763157894736843e-05, 'num_tokens': 19200.0, 'mean_token_accuracy': 1.0, 'epoch': 0.06}
{'loss': 0.0001, 'grad_norm': 0.0014951552730053663, 'learning_rate': 9.078947368421054e-05, 'num_tokens': 22400.0, 'mean_token_accuracy': 1.0, 'epoch': 0.07}
{'loss': 0.0, 'grad_norm': 0.0009938875446096063, 'learning_rate': 0.00010394736842105264, 'num_tokens': 25600.0, 'mean_token_accuracy': 1.0, 'epoch': 0.08}
{'loss': 0.0, 'grad_norm': 0.0007116476190276444, 'learning_rate': 0.00011710526315789474, 'num_tokens': 28800.0, 'mean_token_accuracy': 1.0, 'epoch': 0.09}
{'loss': 0.0, 'grad_norm': 0.0005281111225485802, 'learning_rate': 0.00013026315789473685, 'num_tokens': 32000.0, 'mean_token_accuracy': 1.0, 'epoch': 0.1}
